Unnamed: 0,image1,image2,image3,image4,image5,loc_dirty,Is there junk?,Is there a lot of trash?,Is there a lot of garbage?,Is there a lot of waste?,Is there a lot of rubbish?,Is there any type of junk?,Is there any metal on the ground?,Is there water?,Is there grass?,Is there sand?,Are there buildings?,Are there structures?,Are there walls?,Is the ground sand?,Are there stones?,Are there houses?,Are there trees?,scaled_loc_dirty
10,1640584798704.jpg,1640584804866.jpg,1640584813868.jpg,1640584820422.jpg,1640584836811.jpg,1,0.2,0.2,0.0,0.0,0.2,0.2,0.4,0.8,0.6,0.0,0.8,0.2,0.6,0.0,0.8,1.0,0.2,1.0
11,1640585297918.jpg,1640585302909.jpg,1640585313299.jpg,1640585331297.jpg,1640585339349.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.6,0.4,0.2,0.0,1.0,0.6,0.2,1.0
12,1640585660869.jpg,1640585669615.jpg,1640585678591.jpg,1640585689444.jpg,1640585710665.jpg,6,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,0.8,0.2,0.6,0.0,0.2,1.0,0.2,3.0
13,1640586274980.jpg,1640586280564.jpg,1640586295687.jpg,1640586314755.jpg,1640586321257.jpg,0,0.2,0.4,0.2,0.4,0.4,0.4,0.4,0.8,1.0,0.0,0.6,0.0,0.4,0.0,1.0,0.6,0.2,1.0
14,1640586605583.jpg,1640586611241.jpg,1640586617030.jpg,1640586628155.jpg,1640586649057.jpg,5,0.4,0.8,0.4,0.8,0.6,0.4,0.6,0.2,0.4,0.6,0.8,0.6,0.8,0.6,0.2,0.8,0.2,3.0
15,1640587037861.jpg,1640587043939.jpg,1640587048695.jpg,1640587052709.jpg,1640587062089.jpg,0,1.0,0.8,0.8,0.8,0.8,1.0,0.8,0.2,0.6,0.4,0.6,0.2,0.4,0.2,0.2,0.6,0.8,1.0
16,1640587588681.jpg,1640587595782.jpg,1640587603888.jpg,1640587614125.jpg,1640587621863.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.8,0.4,0.4,0.4,0.2,0.4,0.0,0.8,0.2,1.0
17,1640588007444.jpg,1640588020313.jpg,1640588065850.jpg,1640588117825.jpg,1640588164107.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.4,0.2,0.0,0.8,0.4,0.4,1.0
18,1640588698733.jpg,1640588703602.jpg,1640588717509.jpg,1640588763703.jpg,1640588781744.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0,0.0,0.8,0.4,0.2,0.0,0.8,0.8,0.4,1.0
19,1640589145256.jpg,1640589154655.jpg,1640589172049.jpg,1640589178620.jpg,1640589212833.jpg,1,0.2,0.8,0.4,0.8,0.8,0.2,0.8,1.0,1.0,0.0,0.4,0.4,0.4,0.0,0.6,0.6,0.2,1.0
20,1640589468887.jpg,1640589473876.jpg,1640589535150.jpg,1640589545973.jpg,1640589566380.jpg,1,0.0,0.4,0.2,0.4,0.4,0.0,0.2,0.6,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.4,0.2,1.0
21,1640590229307.jpg,1640590234308.jpg,1640590257329.jpg,1640590266555.jpg,1640590285802.jpg,1,0.8,0.4,0.4,0.6,0.8,0.8,0.6,0.8,1.0,0.4,0.4,0.4,0.4,0.2,0.4,0.8,0.6,1.0
22,1640590776758.jpg,1640590796798.jpg,1640590808536.jpg,1640590830689.jpg,1640590838389.jpg,1,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.4,0.8,0.2,0.6,0.0,0.2,0.2,0.4,0.8,0.2,1.0
23,1640591787356.jpg,1640591792416.jpg,1640591798100.jpg,1640591802276.jpg,1640591806622.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.6,0.4,0.2,0.8,1.0,0.8,0.2,1.0
24,1640592164523.jpg,1640592173441.jpg,1640592186341.jpg,1640592191451.jpg,1640592200979.jpg,6,0.4,0.4,0.2,0.4,0.4,0.6,0.4,0.6,0.8,0.0,0.8,0.0,0.4,0.0,0.6,0.8,0.0,3.0
25,1640592586793.jpg,1640592592457.jpg,1640592598595.jpg,1640592602896.jpg,1640592607481.jpg,6,0.2,0.2,0.2,0.2,0.2,0.2,0.0,1.0,1.0,0.2,0.8,0.6,0.6,0.0,0.6,0.8,0.4,3.0
26,1640593119272.jpg,1640593124279.jpg,1640593130992.jpg,1640593135000.jpg,1640593141748.jpg,4,0.6,0.4,0.4,0.4,0.4,0.6,0.2,0.6,0.0,0.4,0.8,0.4,0.8,0.4,0.6,0.6,0.6,2.0
27,1640593505549.jpg,1640593512251.jpg,1640593528160.jpg,1640593540910.jpg,1640593561590.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.8,0.2,0.2,0.4,0.4,0.4,0.8,0.8,0.2,1.0
28,1640593874606.jpg,1640593904016.jpg,1640594041776.jpg,1640594050329.jpg,1640594059470.jpg,0,0.2,0.0,0.0,0.4,0.2,0.4,0.6,0.8,1.0,0.2,0.4,0.2,0.4,0.0,0.6,0.6,0.2,1.0
29,1640594782505.jpg,1640594790830.jpg,1640594799818.jpg,1640594812301.jpg,1640594828474.jpg,5,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.2,0.8,0.0,1.0,0.2,0.0,1.0,0.8,3.0
30,1640595315246.jpg,1640595324123.jpg,1640595330508.jpg,1640595341248.jpg,1640595350085.jpg,0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,1.0,1.0,0.4,0.4,0.2,0.2,0.2,0.4,0.8,0.4,1.0
31,1640595674406.jpg,1640595679709.jpg,1640595693336.jpg,1640595700043.jpg,1640595705505.jpg,1,0.2,0.2,0.2,0.2,0.4,0.2,0.2,1.0,1.0,0.2,0.4,0.4,0.2,0.0,0.4,0.6,0.0,1.0
32,1640596903861.jpg,1640596915915.jpg,1640596925471.jpg,1640596934507.jpg,1640596941515.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.6,0.4,0.4,1.0
33,1640598027174.jpg,1640598033464.jpg,1640598038916.jpg,1640598046694.jpg,1640598052157.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.2,0.0,0.6,0.2,0.6,0.0,0.6,0.8,0.2,1.0
34,1640599124027.jpg,1640599129772.jpg,1640599141433.jpg,1640599149870.jpg,1640599171608.jpg,5,0.2,0.8,0.8,0.6,0.8,0.2,0.4,0.0,0.2,0.2,0.6,0.2,1.0,0.2,0.6,0.8,0.2,3.0
35,1640599459158.jpg,1640599467840.jpg,1640599483810.jpg,1640599492624.jpg,1640599500653.jpg,1,0.0,0.4,0.2,0.4,0.6,0.0,0.4,0.0,0.2,0.0,0.2,0.2,0.6,0.2,0.4,0.2,0.0,1.0
36,1640602816992.jpg,1640602822918.jpg,1640602827981.jpg,1640602832982.jpg,1640602837938.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.8,0.6,1.0,1.0,0.8,0.8,0.2,1.0
37,1640604146200.jpg,1640604151269.jpg,1640604156045.jpg,1640604160223.jpg,1640604165853.jpg,2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.2,0.8,0.4,1.0,0.2,0.6,0.8,0.2,1.0
38,1640604624395.jpg,1640604629677.jpg,1640604635476.jpg,1640604641055.jpg,1640604663458.jpg,2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,1.0,0.0,1.0,0.8,0.8,0.8,1.0,1.0,0.8,0.0,1.0
39,1640607809048.jpg,1640607814519.jpg,1640607822079.jpg,1640607827319.jpg,1640607832530.jpg,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.8,0.4,0.4,1.0,0.6,0.8,0.6,0.2,2.0
40,1640608161463.jpg,1640608167100.jpg,1640608176545.jpg,1640608184615.jpg,1640608190064.jpg,1,0.2,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.6,0.8,0.8,0.8,0.8,0.4,0.8,0.2,1.0
41,1640610267470.jpg,1640610273325.jpg,1640610282953.jpg,1640610295198.jpg,1640610312240.jpg,6,0.8,1.0,0.8,1.0,1.0,1.0,0.8,0.6,0.4,0.2,1.0,0.6,0.8,0.0,0.4,0.8,0.4,3.0
42,1640610524401.jpg,1640610534759.jpg,1640610547847.jpg,1640610558715.jpg,1640610579463.jpg,4,0.2,0.8,0.8,0.8,0.6,0.4,0.4,0.2,0.0,0.4,0.6,0.4,0.8,0.2,0.2,0.6,0.6,2.0
43,1640611021855.jpg,1640611028193.jpg,1640611034705.jpg,1640611042708.jpg,1640611084734.jpg,6,0.4,0.2,0.2,0.4,0.2,0.0,0.2,0.6,0.0,0.8,0.6,0.6,1.0,0.8,0.4,0.8,0.8,3.0
44,1638849854326.jpg,1638849877317.jpg,1638849900812.jpg,1638849912969.jpg,1638849947303.jpg,6,0.4,0.2,0.2,0.2,0.4,0.4,0.2,0.6,0.2,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,3.0
45,1638850247009.jpg,1638850270388.jpg,1638850282560.jpg,1638850300065.jpg,1638850328729.jpg,3,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.6,1.0,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.0,2.0
46,1638850447765.jpg,1638850457983.jpg,1638850468692.jpg,1638850479375.jpg,1638850527077.jpg,3,0.8,0.8,0.6,0.8,0.6,0.8,0.2,0.8,0.6,0.0,0.4,0.0,0.4,0.0,0.6,0.4,0.0,2.0
47,1638850640914.jpg,1638850665368.jpg,1638850675895.jpg,1638850688799.jpg,1638850699109.jpg,1,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.8,0.0,0.2,0.0,0.2,0.0,0.8,0.0,0.0,1.0
48,1638850817979.jpg,1638850829160.jpg,1638850843745.jpg,1638850859091.jpg,1638850872559.jpg,4,0.6,0.2,0.2,0.4,0.4,0.6,0.4,0.6,0.8,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,2.0
49,1638850978262.jpg,1638850989304.jpg,1638851057180.jpg,1638851025350.jpg,1638851036757.jpg,0,0.4,0.2,0.2,0.2,0.4,0.2,0.6,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0
50,1638851180947.jpg,1638851196790.jpg,1638851222958.jpg,1638851233989.jpg,1638851249605.jpg,0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0
51,1638851407750.jpg,1638851428463.jpg,1638851465546.jpg,1638851495085.jpg,1638851506310.jpg,1,0.6,0.8,0.8,1.0,0.8,0.6,0.2,1.0,0.6,0.2,0.4,0.0,0.0,0.0,0.4,0.4,0.0,1.0
52,1638851600269.jpg,1638851617191.jpg,1638851638035.jpg,1638851649215.jpg,1638851662836.jpg,2,0.6,0.8,0.6,0.6,0.8,0.6,0.6,0.4,0.8,0.0,0.4,0.0,0.0,0.0,0.4,0.6,0.2,1.0
53,1638851909795.jpg,1638851934065.jpg,1638851949211.jpg,1638851961327.jpg,1638851975809.jpg,2,1.0,1.0,0.8,0.6,0.8,1.0,0.8,0.2,1.0,0.0,0.2,0.0,0.4,0.0,0.8,0.4,0.0,1.0
54,1638852208054.jpg,1638852222998.jpg,1638852239887.jpg,1638852266683.jpg,1638852281235.jpg,2,0.2,0.4,0.2,0.4,0.4,0.2,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,1.0
55,1638852504340.jpg,1638852516886.jpg,1638852533435.jpg,1638852557358.jpg,1638852587891.jpg,6,0.8,0.8,0.6,0.6,0.8,0.8,0.6,0.2,1.0,0.0,0.2,0.0,0.0,0.0,1.0,0.2,0.0,3.0
56,1638852755880.jpg,1638852775289.jpg,1638852792883.jpg,1638852807601.jpg,1638852820185.jpg,2,0.2,0.8,0.2,0.4,0.6,0.2,0.4,0.8,0.6,0.2,0.2,0.0,0.0,0.0,0.4,0.2,0.0,1.0
57,1638853048847.jpg,1638853063272.jpg,1638853079926.jpg,1638853093192.jpg,1638853104600.jpg,3,0.4,0.6,0.4,0.4,0.4,0.4,0.0,0.6,0.6,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.0,2.0
58,1638853336263.jpg,1638853349449.jpg,1638853368642.jpg,1638853384462.jpg,1638853398846.jpg,2,0.4,0.2,0.2,0.4,0.4,0.6,0.6,0.2,0.8,0.0,0.2,0.0,0.4,0.0,0.6,0.2,0.0,1.0
59,1638853577715.jpg,1638853591687.jpg,1638853602585.jpg,1638853617615.jpg,1638853638826.jpg,2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0
60,1638853807147.jpg,1638853825988.jpg,1638853842942.jpg,1638853857768.jpg,1638853881514.jpg,7,0.4,0.4,0.4,0.4,0.6,0.4,0.6,0.2,1.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,4.0
61,1638854042445.jpg,1638854059727.jpg,1638854077111.jpg,1638854092809.jpg,1638854111433.jpg,4,0.6,0.8,0.8,0.6,1.0,0.6,0.6,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.0
62,1638854370729.jpg,1638854382156.jpg,1638854424515.jpg,1638854451787.jpg,1638854480516.jpg,10,1.0,0.8,0.8,1.0,0.8,1.0,0.2,0.8,0.4,0.2,0.0,0.0,0.4,0.0,0.8,0.0,0.0,5.0
63,1638854621883.jpg,1638854646315.jpg,1638854657075.jpg,1638854674564.jpg,1638854692694.jpg,6,0.6,0.4,0.4,0.4,0.8,0.6,0.8,0.8,0.8,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,3.0
64,1638854843805.jpg,1638854861213.jpg,1638854874555.jpg,1638854888072.jpg,1638854898775.jpg,9,0.2,0.6,0.2,0.4,0.6,0.2,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,5.0
65,1638855043330.jpg,1638855054587.jpg,1638855069824.jpg,1638855085055.jpg,1638855127072.jpg,1,0.4,0.2,0.2,0.4,0.4,0.4,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,1638855298760.jpg,1638855314448.jpg,1638855330117.jpg,1638855340912.jpg,1638855372310.jpg,3,0.4,1.0,0.8,0.6,1.0,0.4,0.4,0.6,0.8,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,2.0
67,1638855497802.jpg,1638855519796.jpg,1638855531993.jpg,1638855544953.jpg,1638855563196.jpg,2,0.4,0.6,0.4,0.6,0.4,0.4,0.6,0.4,0.6,0.2,0.4,0.0,0.6,0.0,0.6,0.4,0.0,1.0
68,1638855690220.jpg,1638855712007.jpg,1638855736922.jpg,1638855751671.jpg,1638855772316.jpg,3,0.2,0.2,0.0,0.4,0.2,0.2,0.2,0.6,0.8,0.0,0.2,0.0,0.6,0.0,0.8,0.2,0.0,2.0
69,1638855924767.jpg,1638855941887.jpg,1638855966816.jpg,1638855980342.jpg,1638856000332.jpg,9,1.0,1.0,1.0,1.0,1.0,0.8,0.2,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0
70,1638856132047.jpg,1638856147146.jpg,1638856158076.jpg,1638856173248.jpg,1638856197072.jpg,2,0.4,0.4,0.2,0.4,0.2,0.0,0.0,0.4,0.6,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0
71,1638856379921.jpg,1638856393419.jpg,1638856411388.jpg,1638856427261.jpg,1638856437285.jpg,3,0.2,0.4,0.4,0.4,0.6,0.2,0.6,0.6,0.6,0.0,0.2,0.0,0.4,0.0,0.4,0.4,0.0,2.0
72,1638856607168.jpg,1638856622542.jpg,1638856636796.jpg,1638856648813.jpg,1638856688910.jpg,1,0.4,0.4,0.2,0.4,0.4,0.0,0.4,0.6,0.6,0.2,0.2,0.0,0.0,0.0,0.6,0.2,0.0,1.0
73,1638856817877.jpg,1638856835627.jpg,1638856848552.jpg,1638856864852.jpg,1638856874970.jpg,4,0.8,0.8,0.6,0.6,0.8,0.8,0.2,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,2.0
74,1638857028568.jpg,1638857046226.jpg,1638857077534.jpg,1638857101456.jpg,1638857126446.jpg,1,0.6,0.6,0.2,0.6,0.6,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.2,0.0,0.6,0.2,0.0,1.0
75,1638857286588.jpg,1638857310997.jpg,1638857320288.jpg,1638857339298.jpg,1638857361036.jpg,3,0.6,0.8,0.8,0.6,0.8,0.4,0.0,0.2,0.6,0.0,0.4,0.2,0.6,0.0,0.0,0.6,0.2,2.0
76,1638857545073.jpg,1638857559219.jpg,1638857581986.jpg,1638857597815.jpg,1638857628911.jpg,2,0.2,0.2,0.2,0.4,0.4,0.0,0.4,0.4,0.4,0.0,0.2,0.0,0.2,0.0,0.2,0.4,0.0,1.0
77,1638859379137.jpg,1638859399753.jpg,1638859409068.jpg,1638859425363.jpg,1638859438592.jpg,4,0.8,0.8,0.4,0.8,1.0,0.8,0.4,1.0,0.2,0.0,0.6,0.0,0.6,0.0,0.0,0.6,0.0,2.0
78,1638859557452.jpg,1638859571142.jpg,1638859580757.jpg,1638859591651.jpg,1638859605097.jpg,3,0.8,0.8,0.6,0.8,0.8,0.8,0.6,0.6,0.6,0.0,0.2,0.0,0.0,0.0,0.6,0.2,0.2,2.0
79,1638890521935.jpg,1638890533308.jpg,1638890551624.jpg,1638890569105.jpg,1638890579190.jpg,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.6,0.2,0.0,0.0,0.2,0.0,1.0,0.2,0.2,1.0
80,1638890677065.jpg,1638890687748.jpg,1638890704044.jpg,1638890716272.jpg,1638890727664.jpg,1,0.6,0.6,0.4,0.6,0.8,0.4,0.2,0.4,0.2,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,1.0
81,1638890807195.jpg,1638890816464.jpg,1638890828033.jpg,1638890841945.jpg,1638890854024.jpg,2,1.0,1.0,0.8,1.0,1.0,1.0,0.6,0.6,0.6,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,1.0
82,1638890936667.jpg,1638890952455.jpg,1638890968604.jpg,1638890988170.jpg,1638891006933.jpg,2,0.6,0.6,0.6,0.4,0.6,0.6,0.4,0.8,0.2,0.2,0.0,0.0,0.2,0.2,0.8,0.2,0.0,1.0
83,1638891097836.jpg,1638891152768.jpg,1638891140063.jpg,1638891169811.jpg,1638891205568.jpg,3,0.4,0.6,0.2,0.2,0.6,0.4,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,0.2,0.2,2.0
84,1638891288461.jpg,1638891303624.jpg,1638891325693.jpg,1638891350651.jpg,1638891366975.jpg,0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,1.0
85,1638891432579.jpg,1638891447786.jpg,1638891467868.jpg,1638891480167.jpg,1638891510055.jpg,0,0.6,0.6,0.4,0.8,0.8,0.4,0.2,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.4,1.0
86,1638891598543.jpg,1638891614046.jpg,1638891627978.jpg,1638891641209.jpg,1638891673706.jpg,1,0.2,0.0,0.0,0.2,0.6,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.4,1.0
87,1638891902197.jpg,1638891927885.jpg,1638891949985.jpg,1638891978848.jpg,1638892000276.jpg,0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.4,0.0,0.0,0.2,0.2,0.4,0.2,0.6,1.0
88,1638892340351.jpg,1638892351246.jpg,1638892372428.jpg,1638892391688.jpg,1638892410469.jpg,6,0.8,0.4,0.4,0.4,0.8,0.8,0.0,1.0,1.0,0.2,0.0,0.0,0.2,0.0,0.6,0.0,0.2,3.0
89,1638892604393.jpg,1638892658146.jpg,1638892687413.jpg,1638892716004.jpg,1638892742505.jpg,8,0.8,0.4,0.4,0.6,0.6,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,4.0
90,1638892938350.jpg,1638892963238.jpg,1638893017018.jpg,1638893033843.jpg,1638893056338.jpg,6,0.6,0.6,0.2,0.4,0.8,0.4,0.2,0.8,0.4,0.0,0.0,0.0,0.2,0.0,0.8,0.2,0.2,3.0
91,1638893568765.jpg,1638893583773.jpg,1638893597085.jpg,1638893629125.jpg,1638893658841.jpg,9,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.0,5.0
92,1638894176206.jpg,1638894185793.jpg,1638894196555.jpg,1638894206166.jpg,1638894215950.jpg,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
93,1639630129244.jpg,1639630139550.jpg,1639630148233.jpg,1639630156139.jpg,1639630163893.jpg,0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.8,0.8,0.6,1.0,1.0,0.8,0.8,0.0,1.0
94,1639630318345.jpg,1639630328109.jpg,1639630345392.jpg,1639630356261.jpg,1639630364361.jpg,0,0.2,0.0,0.0,0.0,0.0,0.2,0.4,1.0,0.2,0.8,1.0,0.6,1.0,0.8,0.6,1.0,0.0,1.0
95,1639630442764.jpg,1639630466999.jpg,1639630478173.jpg,1639630486994.jpg,1639630494393.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,1.0,1.0,0.6,1.0,1.0,0.6,1.0,0.0,1.0
96,1639630596618.jpg,1639630605896.jpg,1639630615013.jpg,1639630622170.jpg,1639630630950.jpg,0,0.2,0.0,0.0,0.0,0.0,0.2,0.4,1.0,0.2,0.8,0.8,0.4,0.8,0.8,0.8,0.8,0.0,1.0
97,1639630746878.jpg,1639630756692.jpg,1639630764095.jpg,1639630778021.jpg,1639630785903.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,1.0,0.6,0.4,1.0,1.0,0.6,0.8,0.0,1.0
98,1639630917975.jpg,1639630932973.jpg,1639630943084.jpg,1639630952351.jpg,1639630962290.jpg,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.4,0.4,0.6,1.0,1.0,0.4,0.0,1.0
99,1639631074538.jpg,1639631087986.jpg,1639631096503.jpg,1639631108253.jpg,1639631117525.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.2,1.0,0.0,1.0,0.6,0.0,1.0
100,1639631197394.jpg,1639631274938.jpg,1639631229723.jpg,1639631243500.jpg,1639631250775.jpg,1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.4,0.2,0.0,0.2,0.4,1.0,0.2,0.2,1.0
101,1639631393094.jpg,1639631403154.jpg,1639631456248.jpg,1639631429667.jpg,1639631443413.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.4,0.4,0.4,0.4,1.0,0.4,0.2,1.0
102,1639631635861.jpg,1639631689596.jpg,1639631700050.jpg,1639631709542.jpg,1639631716554.jpg,2,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.4,0.0,0.2,0.2,0.2,0.4,0.4,0.6,0.0,0.0,1.0
103,1639631857328.jpg,1639631887268.jpg,1639631909508.jpg,1639631919622.jpg,1639631928225.jpg,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.0,1.0,0.8,0.4,0.2,1.0,0.8,0.8,0.2,1.0
104,1639632068764.jpg,1639632078925.jpg,1639632094302.jpg,1639632113840.jpg,1639632131197.jpg,0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.8,0.0,1.0,0.6,0.2,0.2,0.8,0.6,0.6,0.2,1.0
105,1639632230114.jpg,1639632244100.jpg,1639632255044.jpg,1639632265627.jpg,1639632273614.jpg,6,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.4,0.0,0.2,0.4,0.2,0.4,0.2,0.6,0.6,0.0,3.0
106,1639632366959.jpg,1639632377904.jpg,1639632400933.jpg,1639632414786.jpg,1639632423814.jpg,10,0.8,1.0,1.0,1.0,1.0,0.8,0.4,1.0,0.4,0.0,0.8,0.0,0.2,0.0,0.2,0.8,0.0,5.0
107,1639632769748.jpg,1639632789903.jpg,1639632807103.jpg,1639632816288.jpg,1639632825817.jpg,5,0.4,0.8,0.6,0.4,0.6,0.6,0.0,0.6,0.2,0.4,0.4,0.4,0.8,0.2,0.4,0.6,0.0,3.0
