,image1,image2,image3,image4,image5,loc_dirty,Is there junk?,Is there a lot of trash?,Is there a lot of garbage?,Is there a lot of waste?,Is there a lot of rubbish?,Is there any type of junk?,Is there any metal on the ground?,Is there water?,Is there grass?,Is there sand?,Are there buildings?,Are there structures?,Are there walls?,Is the ground sand?,Are there stones?,Are there houses?,Are there trees?
2251,1643098746235.jpg,1643098782932.jpg,1643098799792.jpg,1643098815908.jpg,1643098830140.jpg,1,0.4,0.8,0.6,0.6,0.6,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.4,0.2,0.6,0.4,0.0
2252,1643099891927.jpg,1643099923783.jpg,1643099935259.jpg,1643099966787.jpg,1643099980244.jpg,1,0.0,0.2,0.2,0.6,0.6,0.0,0.2,0.2,0.0,0.6,0.4,0.2,0.0,0.6,0.4,0.4,0.2
2253,1643100365928.jpg,1643100379710.jpg,1643100390003.jpg,1643100400250.jpg,1643100412336.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.8,0.6,0.4,0.2,0.6,0.8,0.2
2254,1643100567064.jpg,1643100576968.jpg,1643100596440.jpg,1643100605275.jpg,1643100665344.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.6,0.6,0.2,0.6,0.6,0.8,0.6,0.0
2255,1643102322201.jpg,1643102234670.jpg,1643102244352.jpg,1643102253216.jpg,1643102264983.jpg,1,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.4,0.4,0.2,0.0,0.0,0.4,0.6,0.2,0.0
2256,1643102571351.jpg,1643102582737.jpg,1643102591622.jpg,1643102612024.jpg,1643102630594.jpg,5,0.4,0.6,0.4,0.6,0.6,0.4,0.0,0.4,0.2,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.2
2257,1643102983935.jpg,1643103004194.jpg,1643103017906.jpg,1643103036770.jpg,1643103068709.jpg,1,0.4,0.6,0.4,0.6,0.6,0.2,0.2,0.4,0.2,0.0,0.8,0.4,0.4,0.0,0.6,0.8,0.0
2258,1643103534232.jpg,1643103547447.jpg,1643103560763.jpg,1643103576940.jpg,1643103597778.jpg,2,0.2,0.2,0.2,0.2,0.6,0.2,0.0,0.4,0.0,0.8,0.2,0.0,0.8,0.8,0.2,0.2,0.0
2259,1643103881038.jpg,1643103963021.jpg,1643103913319.jpg,1643103931019.jpg,1643103944917.jpg,2,0.6,0.8,0.6,0.8,0.8,0.4,0.2,0.0,0.0,0.0,0.6,0.0,0.6,0.2,0.0,0.4,0.6
2260,1643104512273.jpg,1643104531907.jpg,1643104551428.jpg,1643104573459.jpg,1643104584782.jpg,2,0.8,0.6,0.2,1.0,0.8,0.8,0.4,0.2,0.0,0.2,0.4,0.0,0.8,0.0,0.2,0.2,0.0
2261,1643105040938.jpg,1643105055917.jpg,1643105067602.jpg,1643105081862.jpg,1643105112762.jpg,1,0.0,0.2,0.2,0.4,0.2,0.2,0.2,0.6,0.2,0.6,0.4,0.0,0.8,0.4,0.6,0.6,0.0
2262,1643105506063.jpg,1643105518594.jpg,1643105537703.jpg,1643105549017.jpg,1643105571844.jpg,1,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.0,0.4,0.2,0.0,0.6,0.6,0.8,0.2,0.0
2263,1643106632654.jpg,1643106643079.jpg,1643106684639.jpg,1643106705611.jpg,1643106730056.jpg,1,0.2,0.2,0.0,0.2,0.0,0.2,0.4,0.4,0.2,0.2,0.6,0.2,1.0,0.4,1.0,0.6,0.4
2264,1643026795239.jpg,1643026811397.jpg,1643026822270.jpg,1643026832867.jpg,1643026847917.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.8,0.2,0.4,0.4,0.6,1.0,0.0
2265,1643027620563.jpg,1643027633932.jpg,1643027649926.jpg,1643027662322.jpg,1643027684577.jpg,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.4,0.4,1.0,0.8,0.6,0.6,0.0
2266,1643090347074.jpg,1643090369603.jpg,1643090384486.jpg,1643090395964.jpg,1643090406879.jpg,1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.6,0.6,0.6,0.0,0.0
2267,1643090836999.jpg,1643090852028.jpg,1643090864232.jpg,1643090872093.jpg,1643090895207.jpg,1,0.6,0.4,0.4,0.4,0.8,0.6,0.4,0.6,0.0,0.2,0.4,0.0,0.4,0.0,0.4,0.4,0.0
2268,1643091924483.jpg,1643091934146.jpg,1643091950001.jpg,1643091968456.jpg,1643092005124.jpg,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.0,0.2,0.2,0.0,0.6,0.4,0.6,0.2,0.0
2269,1643092500797.jpg,1643092541750.jpg,1643092556919.jpg,1643092589963.jpg,1643092598176.jpg,1,0.4,0.8,0.6,0.6,0.8,0.2,0.2,0.0,0.4,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0
2270,1643093144729.jpg,1643093170369.jpg,1643093198005.jpg,1643093208837.jpg,1643093218775.jpg,5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2271,1643093696535.jpg,1643093714645.jpg,1643093724117.jpg,1643093738375.jpg,1643093749506.jpg,1,0.2,0.4,0.4,0.4,0.6,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.2,1.0,0.2,0.2,0.0
2272,1643094038306.jpg,1643094105042.jpg,1643094115851.jpg,1643094125424.jpg,1643094138961.jpg,1,0.4,0.0,0.0,0.0,0.2,0.4,0.2,0.4,0.0,0.6,0.0,0.0,1.0,0.8,0.8,0.0,0.0
2273,1643097392902.jpg,1643097407222.jpg,1643097460678.jpg,1643097471881.jpg,1643097494110.jpg,1,0.2,0.4,0.4,0.2,0.4,0.4,0.0,0.2,0.0,0.6,0.2,0.0,0.2,0.6,0.4,0.2,0.2
2274,1643095007165.jpg,1643095032315.jpg,1643095057019.jpg,1643095156322.jpg,1643095180126.jpg,1,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4,0.0,0.4,0.2,0.0,0.4,0.6,0.4,0.2,0.2
2275,1643096984821.jpg,1643096993341.jpg,1643097013047.jpg,1643097029391.jpg,1643097060579.jpg,1,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.4,0.6,0.4,0.2,0.6,0.6,0.4,0.4,0.0
2276,1643095737001.jpg,1643095768259.jpg,1643095970682.jpg,1643095801179.jpg,1643095821088.jpg,1,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.4,0.4,0.4,0.8,0.4,0.4,0.6,0.0
2277,1642922604359.jpg,1642922632752.jpg,1642922647397.jpg,1642922660744.jpg,1642922698556.jpg,1,0.2,0.4,0.0,0.2,0.8,0.2,0.4,0.2,0.0,0.4,0.2,0.0,0.2,0.4,0.4,0.2,0.0
2278,1642922922212.jpg,1642922936444.jpg,1642922950944.jpg,1642922971493.jpg,1642922992599.jpg,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.2,0.4,0.8,0.6,0.2,0.6,0.6,0.4,0.0
2279,1642923193439.jpg,1642923208933.jpg,1642923224224.jpg,1642923262006.jpg,1642923275385.jpg,6,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.4,0.6,0.2,0.0,0.0
2280,1642923597699.jpg,1642923613518.jpg,1642923628036.jpg,1642923644249.jpg,1642923670571.jpg,6,0.8,0.8,0.6,1.0,0.8,0.8,0.4,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0
2281,1642923958389.jpg,1642923972552.jpg,1642923992421.jpg,1642924014129.jpg,1642924032687.jpg,6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0
2282,1642924232192.jpg,1642924249943.jpg,1642924272939.jpg,1642924288701.jpg,1642924324685.jpg,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.4,0.2,0.0
2283,1642924523904.jpg,1642924537462.jpg,1642924555940.jpg,1642924574887.jpg,1642924598356.jpg,2,0.2,0.6,0.2,0.4,0.6,0.4,0.4,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0
2284,1642924744470.jpg,1642924756542.jpg,1642924780202.jpg,1642924794998.jpg,1642924819118.jpg,2,0.4,0.2,0.2,0.2,0.4,0.2,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.4,0.0,0.2,0.0
2285,1642925112173.jpg,1642925128473.jpg,1642925149926.jpg,1642925175985.jpg,1642925204092.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.0
2286,1642925354392.jpg,1642925366370.jpg,1642925378867.jpg,1642925390888.jpg,1642925408425.jpg,2,0.4,0.4,0.4,0.4,0.8,0.4,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
2287,1642925701413.jpg,1642925718786.jpg,1642925749406.jpg,1642925772094.jpg,1642925789897.jpg,2,0.2,0.2,0.2,0.2,0.4,0.2,0.0,0.6,0.0,0.2,0.2,0.0,0.6,0.6,0.6,0.2,0.0
2288,1642926169771.jpg,1642926209749.jpg,1642926226726.jpg,1642926241053.jpg,1642926261838.jpg,2,0.0,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2
2289,1642926921243.jpg,1642926937980.jpg,1642926955305.jpg,1642926980012.jpg,1642927000917.jpg,1,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.4,0.6,0.2,0.4
2290,1642927439575.jpg,1642927457875.jpg,1642927471695.jpg,1642927489060.jpg,1642927506715.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.0
2291,1642928568312.jpg,1642928588653.jpg,1642928602910.jpg,1642928616378.jpg,1642928634356.jpg,1,0.6,0.4,0.4,0.8,0.4,0.6,0.2,0.4,0.0,0.2,0.4,0.2,0.8,0.4,0.8,0.4,0.0
2292,1642928891669.jpg,1642928907115.jpg,1642928925161.jpg,1642928942299.jpg,1642928956076.jpg,2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.8,0.4,0.6,0.4,0.0
2293,1642929307062.jpg,1642929323986.jpg,1642929341701.jpg,1642929355463.jpg,1642929368474.jpg,2,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.6,0.0,0.2,0.0,0.0,0.8,0.6,0.4,0.0,0.0
2294,1642929632075.jpg,1642929645820.jpg,1642929661413.jpg,1642929677141.jpg,1642929690587.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.2,0.2,0.4,0.4,0.4,0.4,0.0
2295,1642930039251.jpg,1642930051024.jpg,1642930063240.jpg,1642930078291.jpg,1642930095975.jpg,6,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.4,0.2,0.8,0.0,0.0
2296,1642930591937.jpg,1642930625833.jpg,1642930651451.jpg,1642930678551.jpg,1642930725383.jpg,1,0.4,0.6,0.2,0.8,0.6,0.4,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4
2297,1642930942741.jpg,1642930959799.jpg,1642930975050.jpg,1642930987109.jpg,1642931011981.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.4,0.4,0.2,0.0,0.0
2298,1642931389496.jpg,1642931411097.jpg,1642931429720.jpg,1642931441498.jpg,1642931453572.jpg,1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.6,0.4,0.4,0.8,0.8,0.8,0.4,0.2
2299,1642932086146.jpg,1642932110148.jpg,1642932124618.jpg,1642932137495.jpg,1642932165687.jpg,2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.6,0.4,0.4,0.0,0.0
2300,1642932687026.jpg,1642932729181.jpg,1642932744494.jpg,1642932759800.jpg,1642932774926.jpg,2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.6,0.0,0.4,0.2,0.0,1.0,0.6,1.0,0.2,0.0
2301,1642933348138.jpg,1642933365720.jpg,1642933380451.jpg,1642933394324.jpg,1642933406815.jpg,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.4,0.2,0.4,0.2,0.0
2302,1642933794365.jpg,1642933812024.jpg,1642933823751.jpg,1642933838289.jpg,1642933860649.jpg,6,0.4,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.0,0.2,0.2,0.0,0.8,0.4,0.2,0.2,0.2
2303,1642934230998.jpg,1642934246351.jpg,1642934277420.jpg,1642934288996.jpg,1642934311641.jpg,3,0.4,0.2,0.0,0.2,0.0,0.2,0.2,1.0,0.0,0.6,0.8,0.4,0.4,0.6,0.4,1.0,0.4
2304,1642934555740.jpg,1642934570205.jpg,1642934581459.jpg,1642934605077.jpg,1642934625157.jpg,2,0.0,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.0,0.6,0.4,0.0,0.4,0.8,0.6,0.4,0.2
2305,1642935022408.jpg,1642935041060.jpg,1642935051957.jpg,1642935065076.jpg,1642935079226.jpg,2,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.0,0.4,0.2,0.0,0.6,0.4,0.8,0.2,0.0
2306,1642935475990.jpg,1642935494776.jpg,1642935526837.jpg,1642935564454.jpg,1642935617685.jpg,1,0.4,0.4,0.2,0.4,0.4,0.6,0.4,0.6,0.0,0.2,0.6,0.2,0.8,0.2,0.8,0.4,0.0
2307,1642936161783.jpg,1642936428079.jpg,1642936441101.jpg,1642936472231.jpg,1642936492286.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.8,1.0,1.0,0.4,0.2
2308,1642936851670.jpg,1642936862016.jpg,1642936874351.jpg,1642936889501.jpg,1642936921225.jpg,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.8,0.2,0.2
2309,1642937260017.jpg,1642937270840.jpg,1642937281982.jpg,1642937294316.jpg,1642937311150.jpg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.6,0.0,0.8,0.6,0.8,0.4,0.0
2310,1642937778863.jpg,1642937793356.jpg,1642937837769.jpg,1642937866271.jpg,1642937895404.jpg,6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.6,0.2,0.0,0.8,0.6,0.8,0.2,0.2
2311,1642938114935.jpg,1642938129800.jpg,1642938146823.jpg,1642938157541.jpg,1642938179805.jpg,1,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.4,0.0,0.8,0.8,0.6,1.0,0.6,0.8,0.8,0.0
2312,1642938574103.jpg,1642938589405.jpg,1642938600853.jpg,1642938618470.jpg,1642938670063.jpg,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.4,0.8,0.8,0.8,0.6,0.0
2313,1642943679688.jpg,1642943693877.jpg,1642943709150.jpg,1642943722586.jpg,1642943743806.jpg,3,0.6,0.6,0.6,0.8,0.8,0.6,0.0,0.4,0.8,0.4,0.2,0.0,0.6,0.2,0.8,0.2,0.0
2314,1642943379754.jpg,1642943389966.jpg,1642943410251.jpg,1642943427188.jpg,1642943441509.jpg,5,0.0,0.4,0.4,0.2,0.6,0.0,0.0,0.6,1.0,0.0,0.2,0.0,0.8,0.0,0.8,0.6,0.0
2315,1642943186860.jpg,1642943204094.jpg,1642943218778.jpg,1642943231412.jpg,1642943241038.jpg,6,0.2,0.2,0.2,0.4,0.2,0.2,0.6,0.6,1.0,0.0,0.8,0.4,0.6,0.0,1.0,0.8,0.0
2316,1642942807422.jpg,1642942819243.jpg,1642942841493.jpg,1642942860909.jpg,1642942878154.jpg,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,1.0,0.2,1.0,0.6,0.4,1.0,0.0
2317,1642942559604.jpg,1642942574225.jpg,1642942591415.jpg,1642942602194.jpg,1642942618608.jpg,2,0.6,0.2,0.2,0.4,0.6,0.6,0.2,0.2,1.0,0.2,0.2,0.0,0.8,0.2,0.6,0.4,0.0
2318,1642942356211.jpg,1642942368663.jpg,1642942381932.jpg,1642942398518.jpg,1642942417620.jpg,2,0.4,0.4,0.2,0.6,0.4,0.4,0.4,0.8,0.8,0.0,0.8,0.2,0.8,0.0,1.0,1.0,0.0
2319,1642942032847.jpg,1642942062064.jpg,1642942073987.jpg,1642942095841.jpg,1642942139446.jpg,2,0.8,0.6,0.6,1.0,0.6,0.8,0.6,0.6,0.2,0.0,0.8,0.2,0.6,0.0,0.2,1.0,0.2
2320,1642941724880.jpg,1642941741316.jpg,1642941753854.jpg,1642941780141.jpg,1642941796295.jpg,6,0.6,0.6,0.6,0.8,0.8,0.4,0.6,0.4,0.4,0.0,0.8,0.0,0.6,0.0,0.4,0.4,0.2
2321,1642941408555.jpg,1642941422974.jpg,1642941434461.jpg,1642941451377.jpg,1642941471119.jpg,6,0.6,0.6,0.4,0.6,0.4,0.6,0.2,0.6,0.2,0.2,0.8,0.2,0.8,0.2,0.0,0.6,0.4
2322,1642944188882.jpg,1642944223903.jpg,1642944238025.jpg,1642944256310.jpg,1642944281702.jpg,2,0.4,0.4,0.2,0.6,0.4,0.4,0.0,0.4,0.8,0.0,0.2,0.0,0.2,0.0,0.6,0.0,0.0
2323,1642944467638.jpg,1642944478429.jpg,1642944495167.jpg,1642944507986.jpg,1642944546051.jpg,5,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.4,0.2,0.0,0.0,0.4,0.2,0.2,0.0
2324,1642944841877.jpg,1642944862146.jpg,1642944880494.jpg,1642944894739.jpg,1642944911066.jpg,5,0.2,0.4,0.2,0.2,0.8,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.0
2325,1642945110634.jpg,1642945127790.jpg,1642945145207.jpg,1642945180662.jpg,1642945194751.jpg,2,0.4,0.8,0.8,0.8,0.8,0.4,0.0,0.4,0.8,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0
2326,1642945322816.jpg,1642945334319.jpg,1642945346478.jpg,1642945366268.jpg,1642945382890.jpg,3,0.8,1.0,0.8,0.8,1.0,0.8,0.6,0.6,0.8,0.0,0.2,0.0,0.6,0.0,0.0,0.2,0.0
2327,1642945547993.jpg,1642945560422.jpg,1642945576749.jpg,1642945591356.jpg,1642945699965.jpg,5,0.2,0.4,0.4,0.2,0.4,0.2,0.0,0.2,0.6,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0
2328,1642947397817.jpg,1642947411707.jpg,1642947432764.jpg,1642947447702.jpg,1642947463621.jpg,1,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.6,0.0,0.2,0.2,0.0,0.2,0.2,0.4,0.6,0.0
2329,1642947704818.jpg,1642947717816.jpg,1642947729025.jpg,1642947740473.jpg,1642947753918.jpg,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,1.0,1.0,0.0,0.0
2330,1642948165010.jpg,1642948176319.jpg,1642948189919.jpg,1642948202473.jpg,1642948229977.jpg,0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.6,0.8,0.6,0.4,0.2
2331,1642948950931.jpg,1642948971852.jpg,1642948983329.jpg,1642948997603.jpg,1642949008130.jpg,5,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.8,0.4,0.4,0.0,0.4,0.4,1.0,0.4,0.0
2332,1643035257861.jpg,1643035272760.jpg,1643035278467.jpg,1643035285895.jpg,1643035292426.jpg,1,0.2,0.4,0.4,0.4,0.4,0.4,0.8,0.6,0.8,0.2,0.4,0.0,0.0,0.0,1.0,0.6,0.0
2333,1643035383664.jpg,1643035390833.jpg,1643035398381.jpg,1643035407325.jpg,1643035443789.jpg,1,0.4,0.4,0.4,0.2,0.6,0.2,0.0,0.0,0.4,0.8,0.2,0.0,0.2,0.8,0.4,0.4,0.0
2334,1643035719257.jpg,1643035725823.jpg,1643035731587.jpg,1643035737236.jpg,1643035744194.jpg,1,0.0,0.4,0.2,0.4,0.2,0.0,0.2,0.2,0.0,0.2,0.6,0.4,0.2,0.4,0.8,0.4,0.4
2335,1643037431971.jpg,1643037443696.jpg,1643037454291.jpg,1643037468203.jpg,1643037486596.jpg,1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.6,0.6,0.6,0.2
2336,1643038147834.jpg,1643037688544.jpg,1643037944524.jpg,1643037955145.jpg,1643037969486.jpg,2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.6,0.4,0.0,0.2,0.4,0.2,0.6,0.4
2337,1643033141807.jpg,1643033150015.jpg,1643033156709.jpg,1643033170873.jpg,1643033177031.jpg,2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.8,0.8,0.0,0.0
2338,1643033328940.jpg,1643033372252.jpg,1643033338663.jpg,1643033343555.jpg,1643033349021.jpg,1,0.2,0.2,0.2,0.4,0.2,0.4,0.4,0.4,0.8,0.4,0.0,0.0,0.4,0.4,1.0,0.0,0.0
2339,1643033581556.jpg,1643033587546.jpg,1643033593310.jpg,1643033598151.jpg,1643033603529.jpg,6,0.8,0.8,0.8,1.0,1.0,0.8,0.8,0.4,1.0,0.2,0.4,0.0,0.2,0.0,0.0,0.4,0.0
2340,1643033831849.jpg,1643033837076.jpg,1643033844344.jpg,1643033849116.jpg,1643033864511.jpg,1,0.6,0.4,0.4,0.4,0.6,0.6,0.2,0.0,0.0,0.8,0.4,0.0,0.0,0.8,0.2,0.4,0.0
